manuscript_location,claim,value,source_object,numerator,denominator,window,geographic_unit,inclusion_rule,value_type
Resultados,Gradiente esperado so por composicao internados/nao internados,2.005696487224906,coupling/coupling_report.json,letalidade predita Q5,letalidade predita Q1,2007-2025,"regiao de saude, quintil de H",letalidades especificas fixas nos valores nacionais,padronizacao aritmetica
Resultados,"Razao Q5/Q1 bruta, padronizacao por idade e sexo",6.435298932834159,case_mix/case_mix_report.json,letalidade Q5,letalidade Q1,2007-2025,"regiao de saude, quintil de H",casos com idade e sexo codificados,bruto
Resultados,Razao Q5/Q1 padronizada por idade e sexo,5.33133472981285,case_mix/case_mix_report.json,letalidade padronizada Q5,letalidade padronizada Q1,2007-2025,"regiao de saude, quintil de H",padrao = todos os casos confirmados nacionais,padronizado
Resultados/Fig2B,"Razao de incidencia Q1/Q5, casos nao graves",13.8642355132012,construct_validity/construct_validity_report.json,incidencia nao grave Q1,incidencia nao grave Q5,2007-2025,"regiao de saude, quintil de H",bloco clinico decodificado,observado
Resultados/Fig2B,"Razao de incidencia Q1/Q5, casos graves",2.1328624895905826,construct_validity/construct_validity_report.json,incidencia grave Q1,incidencia grave Q5,2007-2025,"regiao de saude, quintil de H",ictericia OU renal OU hemorragia,observado
Resultados/Fig2C,Queda da incidencia notificada Q1/Q5,5.320795104766646,triangulation/triangulation_report.json,incidencia Q1,incidencia Q5,2008-2024 (janela comum aos tres sistemas),"regiao de saude, quintil de H",>=30 casos com ATE_HOSP valido,observado
Resultados/Fig2C,Queda da taxa de internacao SIH Q1/Q5,2.63273588322356,triangulation/triangulation_report.json,internacoes SIH Q1,internacoes SIH Q5,2008-2024 (janela comum aos tres sistemas),"regiao de saude, quintil de H","CID-10 A27, municipio de residencia",observado
Resultados/Fig2C,"Mortalidade SIM, minimo entre quintis",1.6751120329621612,triangulation/three_systems_by_stratum.csv,obitos SIM A27,pessoas-ano,2008-2024 (janela comum aos tres sistemas),"regiao de saude, quintil de H","causa basica A27, municipio de residencia",observado
Resultados/Fig2C,"Mortalidade SIM, maximo entre quintis",2.4684394687014786,triangulation/three_systems_by_stratum.csv,obitos SIM A27,pessoas-ano,2008-2024 (janela comum aos tres sistemas),"regiao de saude, quintil de H",causa basica A27,observado
Resultados,Spearman H vs mortalidade SIM,0.03204225728387234,triangulation/triangulation_report.json,-,regioes elegiveis,2008-2024 (janela comum aos tres sistemas),regiao de saude,>=30 casos com ATE_HOSP valido,observado
Resultados,"Razao obitos SIM / obitos SINAN, nacional",0.9949305294780323,triangulation/triangulation_report.json,obitos SIM A27,obitos SINAN por leptospirose,2008-2024 (janela comum aos tres sistemas),nacional,"comparacao de contagens agregadas, sem relacionamento de registros",observado
Resultados,Spearman H vs taxa de obito SINAN por habitante,-0.0602172499341233,triangulation/triangulation_report.json,-,regioes,2008-2024 (janela comum aos tres sistemas),regiao de saude,todas as regioes com H definido,observado
Resultados/Tab2,"OR de H por +10 pp, modelo B",1.2343319,primary_model/primary_model_report.json,obitos,desfechos conhecidos,2007-2025,regiao de saude x ano,celulas com desfecho e H definidos; sem limiar de contagem,modelo bayesiano
Resultados/Tab2,"OR de H por +10 pp, modelo C (principal)",1.2308987,primary_model/primary_model_report.json,obitos,desfechos conhecidos,2007-2025,regiao de saude x ano,modelo B + proporcao 60+ e proporcao masculina,modelo bayesiano
Resultados/Tab2,"OR de H por +10 pp, modelo D",1.23082032,primary_model/primary_model_report.json,obitos,desfechos conhecidos,2007-2025,regiao de saude x ano,completude do desfecho >= 95%,modelo bayesiano
Resultados/Tab2,"OR de H por +10 pp, modelo E (so internados)",1.04438212,primary_model/primary_model_report.json,obitos entre internados,internados com desfecho conhecido,2007-2025,regiao de saude x ano,desfecho redefinido,modelo bayesiano
Resultados/Tab2,"OR de H por +10 pp, modelo F (>=10 casos no denominador de H)",1.24268222,primary_model/primary_model_report.json,obitos,desfechos conhecidos,2007-2025,regiao de saude x ano,hosp_known >= 10,modelo bayesiano
Resultados/Tab2,"OR de H por +10 pp, efeitos fixos de regiao e ano",1.22193853,primary_model/primary_model_report.json,obitos,desfechos conhecidos,2007-2025,regiao de saude x ano,regioes com ao menos um obito e um sobrevivente,modelo frequentista
Resultados,"OR de H por +10 pp, hierarquico sem limiar de 30 casos",1.2369975047,exclusion_sensitivity/exclusion_sensitivity_report.json,obitos,desfechos conhecidos,2007-2025,regiao de saude x ano,todas as regioes com caso; H variavel no tempo,modelo bayesiano
Resultados,Reducao da variancia marginal do efeito espacial (A->B),0.36220466,primary_model/primary_model_report.json,variancia B,variancia A,2007-2025,regiao de saude x ano,A e B ajustados sobre as mesmas celulas,modelo bayesiano
Resultados,Celulas regiao-ano nos modelos A/B/C,4941.0,primary_model/primary_model_report.json,celulas,8.341 combinacoes possiveis,2007-2025,regiao de saude x ano,desfecho conhecido > 0 e H definido,observado
Resultados,Populacao excluida ao limiar de 30 casos (%),23.189758278270837,exclusion_sensitivity/exclusion_sensitivity_report.json,pessoas-ano excluidas,pessoas-ano totais,2007-2025,regiao de saude,limiar descritivo por quintil,observado
