model,term,estimate,lower,upper,scale
E_within_hospitalised,spatial marginal variance,0.416845713116206,0.295120266247844,0.57702113667654,variance of the BYM2 field on the logit scale (= 1/precision)
E_within_hospitalised,spatial marginal sd,0.645635898255515,0.543249727333428,0.759619073402281,sd of the BYM2 field on the logit scale
E_within_hospitalised,rw1 year precision,131.058667553175,19.7965670252484,515.349229861768,precision
E_within_hospitalised,empirical sd of region effects,0.472968679599921,,,"sd across regions with data, of posterior-mean BYM2 effects (logit scale)"
E_within_hospitalised,DIC,8606.04609935103,,,information criterion
E_within_hospitalised,WAIC,8639.98369919501,,,information criterion
E_within_hospitalised,cells,4624,,,region-years
E_within_hospitalised,deaths,5642,,,count
E_within_hospitalised,trials,42579,,,count
F_hosp_known_ge10,(Intercept),0.0756583145576365,0.064943580557592,0.0879572505915447,odds of death at the national mean of every centred covariate
F_hosp_known_ge10,H10,1.24268221785468,1.20357113520613,1.28303718066761,odds ratio per +10 percentage points
F_hosp_known_ge10,age60_10,1.19976106678711,1.1305127907283,1.27328869342837,odds ratio per +10 percentage points
F_hosp_known_ge10,male_10,0.961630126101418,0.915418324344522,1.0102168239817,odds ratio per +10 percentage points
F_hosp_known_ge10,phi (BYM2 mixing),0.789086287871611,0.463122734330939,0.968825391218519,share of the SPATIAL EFFECT's marginal variance that is spatially structured
F_hosp_known_ge10,spatial marginal variance,0.447563028466193,0.2925188417083,0.662702684067253,variance of the BYM2 field on the logit scale (= 1/precision)
F_hosp_known_ge10,spatial marginal sd,0.669001516041775,0.540850110204574,0.814065528116289,sd of the BYM2 field on the logit scale
F_hosp_known_ge10,rw1 year precision,318.846625053048,26.107548795308,1536.64767713573,precision
F_hosp_known_ge10,empirical sd of region effects,0.636773692749441,,,"sd across regions with data, of posterior-mean BYM2 effects (logit scale)"
F_hosp_known_ge10,DIC,4501.95115128075,,,information criterion
F_hosp_known_ge10,WAIC,4526.4657719301,,,information criterion
F_hosp_known_ge10,cells,1314,,,region-years
F_hosp_known_ge10,deaths,4889,,,count
F_hosp_known_ge10,trials,50634,,,count
A_vs_B,spatial marginal variance absorbed by H,0.362204662720462,,,proportion; point comparison of posterior means from two separate fits
A_vs_B,empirical spatial variance absorbed by H,0.414155208675104,,,"proportion; variance of posterior-mean region effects, A versus B"
FE_region_year_H,H10,1.22733781402985,1.18440563466298,1.2718261933769,odds ratio per +10 percentage points; cluster-robust by health region
FE_region_year_H_case_mix,H10,1.22193852759111,1.17774423055597,1.26779119478826,odds ratio per +10 percentage points; cluster-robust by health region
FE_region_year_H_case_mix,age60_10,1.09128137796837,1.0544517744678,1.1293973557981,odds ratio per +10 percentage points; cluster-robust by health region
FE_region_year_H_case_mix,male_10,0.988469359241898,0.958111114494987,1.01978952062893,odds ratio per +10 percentage points; cluster-robust by health region
